trio-time,0,0,0.04,0.039400000000000004,0.0422,0.10760000000000003,0.16209999999999997,0.22349999999999998,0.3071,0.3164,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,276612,277360,284768,290292,295960,299608,351360,690648,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,161028,161108,114872,132880,149952,151212,168752,152792,0,0,0,0,0,0,0,0,0,0,0
list_take,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,0,3,4,4,3,7,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.07670000000000002,0.0854,1.301,5.1364,15.129499999999998,168.1153,187.43820000000002,2.7826,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0049,0.05619999999999999,0.153,0.2775,0.34770000000000006,0.4065000000000001,0.5695,0.9178,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,288612,290740,305540,372928,513192,3113952,2719864,67628,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,145356,158368,180940,193656,197680,199636,209176,211620,0,0,0,0,0,0,0,0,0,0,0
list_drop,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,1,2,7,3,4,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,0,2,1,5,6,8,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.04179999999999999,0.046900000000000004,0.34320000000000006,5.9744,9.297900000000002,160.7795,164.85519999999997,276.2679,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0174,0.04479999999999999,0.2576,0.28099999999999997,0.2923,1.2128999999999999,0.6116999999999999,0.566,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,288104,288608,295192,362852,397036,2315372,2280880,3390060,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,149648,156144,223136,202456,197324,256920,233784,237012,0,0,0,0,0,0,0,0,0,0,0
