syruptimeout,0,0,0,0,0,0,0,3,4,4,6,10,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
list_nth,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,1,4,5,6,4,4,1,1,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,1,4,4,5,5,7,8,8,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0213,0.0969,0.5951999999999998,2.3359,12.5971,127.0375,93.7274,144.3453,93.8642,42.668800000000005,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.018699999999999994,0.0576,0.066,0.1311,0.2774,0.2734,0.31249999999999994,0.48539999999999994,0.5549999999999999,0.3314,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,1,0,3,5,9,8,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_sum,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,7,10,10,10,10,9,10,8,8,0,0,0,0,0,0,0,0,0
trio-correct,0,0,9,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.035500000000000004,0.10819999999999998,0.3668,1.1177,12.273900000000001,16.848599999999998,12.8643,17.076999999999998,254.31669999999997,21.3986,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0177,0.023799999999999998,0.029199999999999997,0.0337,0.040900000000000006,0.0535,0.05960000000000001,0.06470000000000001,0.0814,0.08940000000000001,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_length,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,7,7,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,4,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.024799999999999996,0.04880000000000001,0.0556,0.0662,1.8215999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.039400000000000004,0.052099999999999994,0.061700000000000005,0.08070000000000001,0.1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_even_parity,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,2,7,5,9,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.016399999999999998,0.25379999999999997,0.13809999999999997,1.3058,2.8375999999999997,1.0969,2.3718000000000004,1.7276,5.7835,6.135,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.008,0.0162,0.0239,0.0254,0.0339,0.0449,0.059000000000000004,0.0878,0.1287,0.2145,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_inc,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-correct,0,0,6,9,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0283,0.04859999999999999,0.054599999999999996,0.07849999999999999,0.13679999999999998,0.3699,0.17320000000000002,1.8200999999999998,6.023700000000001,0.6673,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.040299999999999996,0.0732,0.10750000000000001,0.14300000000000002,0.17990000000000003,0.2254,0.2661,0.3506,0.4328,0.5005000000000001,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_stutter,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,8,8,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-correct,0,0,8,8,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0971,0.10050000000000002,0.24729999999999996,0.432,0.9876999999999999,0.3846,1.8618999999999999,3.3275,4.921099999999999,1.0707999999999998,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0514,0.0856,0.17729999999999999,0.2407,0.33019999999999994,0.3714,0.5539,0.6733000000000001,0.8414999999999998,0.9808000000000001,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_snoc,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,10,10,10,10,10,10,10,8,6,4,0,0,0,0,0,0,0,0,0
trio-correct,0,0,4,8,9,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0511,0.0634,0.1272,0.6225,3.3930999999999996,12.261300000000002,116.70809999999999,237.3792,243.4531,149.8556,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.12319999999999999,0.1548,0.24789999999999998,0.33,0.38230000000000003,0.46299999999999997,0.6066,0.6910999999999999,0.7909,0.9194,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_append,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,10,10,10,10,10,9,6,3,1,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,5,2,8,9,7,6,5,8,3,7,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.073,0.1416,0.3208,2.8,19.3437,239.67520000000002,350.4745,100.2125,61.812,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.113,0.46240000000000003,0.2909,0.3341,0.44329999999999997,2.9786,0.7511,0.7644,1.0122,0.9736,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,1,4,7,9,10,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
list_compress,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.0154,0.3571,2.7493000000000003,39.300599999999996,54.86999999999999,268.2915,102.2142,94.41820000000001,160.3255,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.0275,0.03319999999999999,0.0481,0.12010000000000001,0.23529999999999998,0.3094,0.5008,1.0783000000000003,0.6873,0.927,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,2,6,8,8,10,0,0,0,0,0,0,0,0,0
